gene_id,fpkm_Sample1,fpkm_Sample2
Q0050,0.1,30.7
Q0055,0.1,18.9
Q0085,0.0,10.4
Q0105,0.2,15.0
Q0130,0.0,323.5
Q0250,0.3,56.9
Q0275,0.5,40.3
R0010W,319.9,78.4
R0020C,329.6,92.7
R0030W,339.5,93.0
R0040C,330.5,123.1
YAL001C,13.8,17.4
YAL002W,20.1,12.5
YAL003W,1293.1,902.9
YAL004W,87.9,224.2
YAL005C,1355.1,822.6
YAL007C,136.2,60.7
YAL008W,210.8,47.2
YAL009W,33.3,11.3
YAL010C,16.5,7.7
YAL011W,12.0,5.8
YAL012W,536.0,239.4
YAL013W,29.7,5.7
YAL014C,68.6,20.6
YAL015C,42.9,10.1
YAL016C-A,173.2,116.9
YAL016C-B,27.5,53.3
YAL016W,180.5,77.8
YAL017W,76.9,63.7
YAL019W,13.3,18.8
YAL020C,15.0,4.6
YAL021C,20.9,15.2
YAL022C,27.4,16.6
YAL023C,98.1,76.4
YAL025C,38.2,11.4
YAL026C,20.1,19.8
YAL026C-A,26.4,26.5
YAL027W,20.9,5.6
YAL028W,16.0,3.7
YAL029C,25.5,46.2
YAL030W,171.4,49.1
YAL031C,14.6,7.7
YAL031W-A,13.6,6.8
YAL032C,22.0,10.0
YAL033W,24.4,13.2
YAL034C,42.4,10.5
YAL034W-A,10.4,3.4
YAL035W,124.7,114.2
YAL036C,52.9,20.9
YAL037C-B,720.7,1051.8
YAL038W,3180.7,6778.0
YAL039C,68.6,22.7
YAL040C,50.1,10.6
YAL041W,48.2,20.3
YAL042C-A,154.8,82.8
YAL042W,183.8,92.0
YAL043C,23.1,12.2
YAL044C,2070.5,647.4
YAL044W-A,196.7,63.2
YAL045C,213.9,93.7
YAL046C,113.2,47.9
YAL048C,17.0,8.7
YAL049C,128.3,68.3
YAL051W,13.3,10.1
YAL053W,83.1,39.1
YAL054C,66.1,40.8
YAL055W,48.8,10.8
YAL056C-A,12.7,6.8
YAL056W,27.3,14.5
YAL058W,22.2,11.6
YAL059W,16.2,8.2
YAL060W,249.6,84.7
YAL061W,172.5,63.3
YAL062W,27.6,11.3
YAL064C-A,13.0,9.3
YAL064W,14.4,3.6
YAR002C-A,281.0,159.8
YAR002W,36.6,14.7
YAR003W,25.9,11.3
YAR007C,62.9,28.7
YAR008W,10.2,4.8
YAR014C,26.5,13.8
YAR015W,324.3,98.4
YAR018C,23.3,7.5
YAR019C,14.8,6.7
YAR020C,20.6,13.3
YAR023C,18.4,6.7
YAR027W,263.3,55.1
YAR028W,40.6,17.4
YAR029W,39.0,9.7
YAR030C,15.9,4.2
YAR031W,11.9,4.1
YAR042W,23.6,27.1
YAR050W,10.3,2.8
YBL001C,1185.2,734.3
YBL002W,233.8,93.8
YBL003C,415.2,171.6
YBL004W,11.2,40.8
YBL005W,25.9,13.0
YBL006C,56.2,19.5
YBL006W-A,15.7,26.3
YBL007C,75.1,72.8
YBL010C,10.1,4.3
YBL011W,20.0,11.7
YBL012C,15.7,13.6
YBL015W,41.2,21.4
YBL016W,62.5,15.0
YBL017C,45.2,50.7
YBL018C,21.6,8.8
YBL019W,20.5,6.3
YBL020W,17.2,11.2
YBL021C,14.2,4.1
YBL022C,100.0,98.4
YBL023C,13.1,11.5
YBL024W,25.9,33.0
YBL025W,34.1,5.3
YBL026W,73.6,28.1
YBL027W,1782.1,1393.9
YBL028C,38.8,18.2
YBL029C-A,66.6,15.3
YBL029W,27.7,5.8
YBL030C,229.7,171.5
YBL032W,18.3,12.0
YBL033C,45.3,15.2
YBL034C,10.7,11.8
YBL035C,12.9,7.2
YBL036C,164.5,73.2
YBL037W,19.2,13.7
YBL038W,111.9,28.8
YBL039C,40.4,63.8
YBL039W-B,40.7,14.1
YBL040C,240.0,66.7
YBL041W,401.3,133.4
YBL042C,20.5,15.4
YBL043W,15.4,4.8
YBL045C,205.8,105.2
YBL046W,42.6,8.8
YBL047C,90.9,120.4
YBL048W,45.9,18.1
YBL049W,63.9,20.7
YBL050W,181.0,44.9
YBL051C,111.2,33.3
YBL053W,14.6,8.3
YBL054W,19.9,7.5
YBL055C,87.8,36.4
YBL056W,151.7,83.7
YBL057C,242.4,61.7
YBL058W,306.1,76.6
YBL059C-A,84.3,33.4
YBL059W,13.0,4.9
YBL060W,20.1,6.4
YBL061C,51.8,19.0
YBL062W,46.5,11.9
YBL064C,766.3,240.8
YBL065W,10.7,7.1
YBL066C,15.9,11.0
YBL067C,32.5,19.6
YBL068W,20.6,11.4
YBL069W,13.6,8.0
YBL070C,14.2,10.8
YBL071C,43.0,18.4
YBL071W-A,97.7,30.0
YBL072C,471.7,382.0
YBL074C,22.9,12.3
YBL075C,1024.3,211.5
YBL076C,176.4,483.0
YBL077W,175.1,592.3
YBL078C,659.4,114.4
YBL079W,24.8,24.2
YBL080C,16.0,5.3
YBL081W,10.9,2.5
YBL082C,20.1,14.6
YBL083C,10.7,9.4
YBL084C,30.6,8.6
YBL085W,27.7,12.7
YBL086C,74.9,18.9
YBL087C,672.4,502.6
YBL088C,12.1,9.9
YBL089W,25.7,10.2
YBL090W,102.1,32.8
YBL091C,176.2,76.5
YBL091C-A,56.1,17.5
YBL092W,994.7,1027.6
YBL093C,50.8,15.3
YBL095W,24.1,10.3
YBL096C,17.3,6.6
YBL097W,13.8,4.8
YBL098W,38.2,20.1
YBL099W,131.5,186.1
YBL100C,40.0,56.5
YBL100W-C,117.8,0.0
YBL101C,19.7,11.3
YBL102W,185.4,73.6
YBL103C,37.3,10.5
YBL105C,26.7,31.9
YBL106C,32.5,19.8
YBL107C,69.7,26.7
YBR001C,36.9,13.5
YBR002C,37.4,11.4
YBR003W,59.0,16.6
YBR004C,16.9,9.3
YBR005W,67.8,23.7
YBR006W,45.4,27.2
YBR007C,30.9,8.2
YBR008C,29.8,6.6
YBR009C,672.9,217.9
YBR010W,820.0,304.7
YBR011C,1788.7,852.9
YBR014C,157.6,55.7
YBR015C,31.3,25.2
YBR016W,25.4,6.0
YBR017C,75.0,56.2
YBR018C,14.4,2.8
YBR019C,12.3,3.7
YBR020W,49.2,12.5
YBR021W,29.1,15.7
YBR022W,57.3,26.5
YBR023C,62.3,56.4
YBR024W,53.3,42.3
YBR025C,644.1,360.5
YBR026C,279.2,109.9
YBR028C,15.4,6.5
YBR029C,87.5,33.8
YBR030W,13.3,6.5
YBR031W,145.1,98.3
YBR032W,11.1,4.3
YBR033W,14.8,6.8
YBR034C,36.5,22.4
YBR035C,278.6,118.5
YBR036C,150.2,58.6
YBR037C,34.6,11.3
YBR038W,14.0,6.7
YBR039W,145.1,85.6
YBR041W,50.6,20.9
YBR042C,30.2,12.4
YBR043C,31.0,11.5
YBR044C,24.5,8.7
YBR045C,28.6,20.2
YBR046C,52.1,49.6
YBR047W,25.0,10.8
YBR048W,676.2,547.6
YBR049C,34.9,30.7
YBR050C,34.7,8.5
YBR051W,21.8,4.7
YBR052C,222.1,73.2
YBR053C,297.8,108.4
YBR054W,583.2,530.3
YBR055C,10.3,6.8
YBR056C-B,10.2,20.2
YBR056W,157.3,82.8
YBR056W-A,270.4,91.2
YBR057C,44.6,11.7
YBR058C,37.4,28.3
YBR058C-A,435.3,140.5
YBR059C,64.7,63.4
YBR060C,19.9,6.8
YBR061C,14.6,8.7
YBR062C,296.7,70.6
YBR063C,104.1,35.2
YBR064W,12.0,5.4
YBR065C,73.8,33.4
YBR066C,258.0,79.0
YBR067C,2757.1,473.0
YBR068C,134.2,61.4
YBR069C,107.0,45.1
YBR070C,54.0,16.9
YBR071W,152.4,34.2
YBR072C-A,9.8,21.5
YBR072W,10905.1,1871.6
YBR073W,42.2,27.2
YBR074W,21.2,22.9
YBR076C-A,47.8,14.4
YBR076W,38.7,6.1
YBR077C,66.4,19.2
YBR078W,280.6,390.3
YBR079C,105.4,109.0
YBR080C,53.5,43.3
YBR081C,20.7,17.5
YBR082C,1785.1,328.2
YBR083W,37.4,8.6
YBR084C-A,1850.1,1760.3
YBR084W,33.6,47.6
YBR085C-A,5098.7,804.6
YBR085W,44.5,11.4
YBR086C,86.3,36.2
YBR087W,28.2,10.8
YBR088C,42.3,18.4
YBR089C-A,38.9,14.4
YBR089W,13.7,8.2
YBR090C,13.2,5.9
YBR091C,41.5,12.4
YBR092C,56.1,43.4
YBR093C,34.0,13.0
YBR094W,19.2,18.1
YBR095C,44.4,14.4
YBR096W,261.7,77.7
YBR097W,65.6,37.5
YBR098W,162.1,63.2
YBR099C,177.7,60.3
YBR101C,1205.1,305.9
YBR102C,56.8,22.5
YBR103C-A,50.9,25.9
YBR103W,60.0,16.0
YBR104W,30.9,14.5
YBR105C,44.8,15.0
YBR106W,467.1,211.1
YBR107C,32.9,10.1
YBR108W,35.9,17.2
YBR109C,1093.7,371.2
YBR109W-A,19.9,13.5
YBR110W,59.6,24.0
YBR111C,308.2,107.7
YBR112C,28.3,19.7
YBR113W,20.4,23.4
YBR114W,25.0,16.2
YBR115C,54.6,87.1
YBR116C,13.0,8.5
YBR117C,31.7,16.0
YBR118W,200.8,279.1
YBR119W,28.7,7.4
YBR120C,70.0,12.6
YBR121C,210.4,284.3
YBR121C-A,31.8,37.7
YBR122C,156.9,37.2
YBR123C,15.1,6.8
YBR125C,34.7,10.0
YBR126C,675.4,287.9
YBR126W-A,698.5,297.2
YBR126W-B,344.8,192.9
YBR127C,436.1,702.1
YBR128C,24.0,6.0
YBR129C,23.5,6.8
YBR130C,62.3,19.3
YBR131W,10.4,6.2
YBR132C,30.8,26.5
YBR133C,25.8,13.7
YBR135W,86.0,33.8
YBR136W,10.9,12.8
YBR137W,115.0,42.5
YBR138C,17.0,6.6
YBR139W,130.2,145.2
YBR140C,42.0,49.5
YBR141C,10.9,5.6
YBR142W,12.3,12.1
YBR143C,174.0,73.3
YBR145W,31.0,13.1
YBR146W,108.6,32.7
YBR147W,21.8,7.4
YBR148W,19.7,4.6
YBR149W,411.7,179.6
YBR150C,12.4,9.5
YBR151W,109.9,27.9
YBR152W,16.4,5.8
YBR153W,27.4,7.1
YBR154C,173.8,41.7
YBR155W,31.5,15.8
YBR156C,61.5,19.2
YBR157C,225.9,69.3
YBR158W,63.3,26.3
YBR159W,158.5,60.4
YBR160W,119.5,29.3
YBR161W,60.2,16.5
YBR162C,158.5,198.9
YBR162W-A,590.8,215.6
YBR163W,33.1,12.2
YBR164C,89.7,29.0
YBR165W,35.1,8.8
YBR166C,48.7,18.1
YBR167C,100.9,45.4
YBR168W,52.8,34.8
YBR169C,623.2,419.0
YBR170C,82.5,41.4
YBR171W,141.5,39.2
YBR172C,35.8,11.7
YBR173C,406.3,117.0
YBR174C,23.6,10.4
YBR175W,30.9,12.5
YBR176W,48.4,22.3
YBR177C,197.9,127.0
YBR179C,17.2,11.6
YBR181C,61.0,76.4
YBR182C,14.5,3.4
YBR183W,84.0,32.7
YBR184W,11.1,2.6
YBR185C,37.1,14.7
YBR187W,48.2,22.4
YBR188C,22.5,9.5
YBR189W,1701.9,826.1
YBR191W,1080.8,987.8
YBR192W,28.3,7.7
YBR193C,48.0,15.3
YBR194W,36.8,7.8
YBR195C,20.0,6.0
YBR196C,843.0,1723.7
YBR196C-A,24.4,21.8
YBR197C,39.3,16.1
YBR198C,45.3,17.8
YBR199W,331.2,104.6
YBR200W,63.5,20.9
YBR201C-A,47.3,15.3
YBR201W,33.1,9.9
YBR202W,15.8,11.0
YBR203W,15.2,7.8
YBR204C,50.9,18.5
YBR205W,67.4,47.0
YBR206W,51.2,29.4
YBR207W,60.5,20.7
YBR208C,20.0,35.4
YBR210W,116.8,27.1
YBR211C,47.5,10.3
YBR212W,109.6,47.5
YBR213W,14.2,3.2
YBR214W,151.5,31.6
YBR215W,15.8,7.2
YBR216C,41.4,25.3
YBR217W,39.0,8.1
YBR218C,59.0,177.6
YBR221C,492.2,410.9
YBR222C,43.9,33.7
YBR223C,10.9,5.9
YBR223W-A,43.8,0.0
YBR225W,19.6,11.2
YBR226C,20.3,11.6
YBR227C,47.1,22.2
YBR228W,39.5,15.5
YBR229C,40.0,45.0
YBR230C,170.6,40.4
YBR230W-A,651.6,43.0
YBR231C,23.8,6.7
YBR232C,19.0,7.8
YBR233W,19.3,6.8
YBR233W-A,38.9,9.9
YBR234C,400.0,160.9
YBR235W,28.2,14.6
YBR236C,42.8,21.8
YBR237W,43.8,15.6
YBR238C,16.5,26.2
YBR239C,10.2,5.9
YBR241C,48.0,22.1
YBR242W,42.5,15.1
YBR243C,22.9,10.5
YBR244W,52.7,23.9
YBR245C,13.3,28.5
YBR246W,40.6,17.3
YBR247C,23.2,14.3
YBR248C,78.3,62.8
YBR249C,371.6,356.6
YBR251W,34.9,12.8
YBR252W,69.0,27.4
YBR253W,105.2,25.9
YBR254C,22.8,11.5
YBR255C-A,66.1,11.3
YBR255W,25.6,8.8
YBR256C,433.0,160.2
YBR257W,20.8,7.0
YBR258C,49.0,15.8
YBR259W,10.6,5.9
YBR260C,20.4,11.6
YBR261C,65.4,30.7
YBR262C,82.2,23.3
YBR263W,161.3,166.3
YBR264C,23.2,8.2
YBR265W,17.6,8.2
YBR267W,14.2,6.6
YBR268W,107.6,40.4
YBR269C,130.7,34.5
YBR272C,50.5,18.6
YBR273C,72.5,24.0
YBR274W,10.6,5.9
YBR275C,10.1,8.7
YBR276C,36.9,16.0
YBR278W,70.0,13.9
YBR279W,119.4,37.1
YBR280C,97.8,33.6
YBR281C,22.8,15.1
YBR282W,124.7,35.4
YBR283C,198.8,92.2
YBR284W,17.1,8.8
YBR285W,38.4,6.1
YBR286W,579.1,347.7
YBR287W,123.1,65.0
YBR288C,41.8,23.7
YBR289W,27.6,8.0
YBR290W,142.0,39.5
YBR291C,43.7,11.3
YBR292C,18.6,8.1
YBR293W,35.5,9.4
YBR294W,11.6,6.5
YBR297W,13.0,4.1
YBR298C,17.3,4.3
YCL001W,103.4,41.1
YCL001W-B,10.9,4.3
YCL002C,29.3,12.1
YCL004W,19.2,7.7
YCL005W,31.6,10.0
YCL005W-A,14.4,8.1
YCL007C,16.1,4.7
YCL008C,51.4,9.8
YCL009C,479.2,285.3
YCL010C,46.3,15.8
YCL011C,197.9,52.1
YCL012C,43.2,16.3
YCL014W,10.4,18.6
YCL016C,13.0,4.1
YCL017C,77.4,76.7
YCL018W,17.4,4.6
YCL019W,4.2,13.5
YCL021W-A,38.2,18.4
YCL025C,44.0,23.1
YCL026C-B,77.3,22.5
YCL027W,20.2,7.6
YCL028W,144.6,105.4
YCL029C,16.6,8.8
YCL030C,207.6,278.1
YCL031C,137.4,36.7
YCL032W,25.7,8.3
YCL033C,187.0,65.0
YCL034W,135.0,32.9
YCL035C,1742.8,303.2
YCL037C,1.2,36.1
YCL038C,44.2,25.0
YCL039W,93.9,13.5
YCL040W,636.4,365.0
YCL041C,9.8,10.7
YCL042W,169.6,124.4
YCL043C,404.0,328.0
YCL044C,62.9,6.9
YCL045C,102.8,58.7
YCL046W,79.7,73.6
YCL047C,47.1,21.8
YCL048W-A,61.6,10.6
YCL049C,173.8,68.0
YCL050C,924.1,233.4
YCL051W,44.2,11.3
YCL052C,118.1,36.1
YCL054W,33.0,17.8
YCL055W,43.0,15.9
YCL056C,81.1,17.8
YCL057C-A,215.5,68.4
YCL057W,158.8,105.6
YCL058C,28.7,4.7
YCL058W-A,19.2,4.5
YCL059C,86.9,53.6
YCL063W,10.4,4.1
YCL064C,74.4,22.5
YCR002C,148.5,54.1
YCR003W,93.2,29.9
YCR004C,350.1,160.0
YCR005C,557.1,227.7
YCR007C,25.0,6.9
YCR008W,34.7,22.3
YCR009C,251.2,119.1
YCR010C,51.7,11.9
YCR011C,112.8,73.1
YCR012W,6896.6,5386.2
YCR013C,2453.4,2536.3
YCR014C,41.2,13.8
YCR015C,36.8,18.1
YCR016W,20.2,8.6
YCR017C,78.6,48.7
YCR018C,37.5,7.2
YCR019W,25.4,6.2
YCR020C,129.6,44.0
YCR020C-A,406.9,307.8
YCR020W-B,112.6,53.8
YCR021C,1815.3,501.7
YCR022C,13.4,2.8
YCR023C,50.3,17.8
YCR024C,27.9,8.2
YCR024C-A,169.7,183.7
YCR024C-B,116.9,124.8
YCR025C,18.3,4.0
YCR026C,37.5,17.7
YCR027C,15.9,6.2
YCR028C,37.6,13.0
YCR028C-A,138.3,70.4
YCR030C,53.0,17.1
YCR031C,2562.1,1642.8
YCR032W,21.8,19.3
YCR033W,58.5,24.2
YCR034W,70.1,49.9
YCR035C,45.0,18.9
YCR036W,137.6,47.5
YCR037C,43.3,16.4
YCR038C,11.5,3.1
YCR041W,12.5,9.4
YCR042C,29.1,13.4
YCR043C,84.6,25.2
YCR044C,35.8,17.1
YCR045C,12.0,3.4
YCR046C,101.0,35.3
YCR047C,15.2,3.4
YCR048W,29.8,12.2
YCR049C,25.5,13.6
YCR050C,14.1,5.5
YCR051W,106.8,29.6
YCR052W,49.1,20.7
YCR053W,401.3,340.8
YCR054C,16.6,7.9
YCR057C,15.3,15.8
YCR059C,66.6,30.1
YCR060W,137.0,43.4
YCR061W,27.3,64.6
YCR065W,10.0,6.8
YCR066W,13.0,4.4
YCR067C,40.9,31.7
YCR068W,37.1,13.4
YCR069W,108.2,27.6
YCR071C,122.1,32.1
YCR072C,12.2,7.5
YCR073W-A,83.2,37.6
YCR075C,14.2,4.8
YCR075W-A,112.6,39.0
YCR076C,62.7,21.7
YCR077C,49.7,32.5
YCR079W,20.1,6.7
YCR081W,10.4,10.1
YCR082W,448.2,107.6
YCR083W,335.2,125.1
YCR084C,54.7,28.1
YCR086W,16.1,4.7
YCR087W,56.5,40.7
YCR088W,129.6,170.2
YCR089W,15.8,4.9
YCR090C,42.8,18.8
YCR091W,12.8,9.3
YCR092C,13.8,9.9
YCR093W,42.3,60.5
YCR094W,44.2,19.4
YCR095C,59.9,12.2
YCR095W-A,15.3,22.1
YCR097W,129.3,37.2
YCR099C,12.5,4.8
YCR101C,10.2,5.5
YDL001W,13.4,5.4
YDL002C,74.7,16.7
YDL003W,12.9,8.5
YDL004W,197.7,93.6
YDL005C,53.2,14.5
YDL006W,50.4,18.0
YDL007W,460.7,109.4
YDL008W,51.2,16.2
YDL009C,80.6,28.0
YDL010W,87.2,26.8
YDL011C,95.0,43.1
YDL012C,127.6,31.2
YDL013W,34.2,8.3
YDL014W,132.8,50.3
YDL015C,267.2,114.0
YDL017W,14.6,7.5
YDL018C,41.0,20.8
YDL019C,41.7,31.0
YDL020C,598.3,136.4
YDL021W,237.2,46.1
YDL022W,337.7,194.0
YDL023C,381.9,209.7
YDL024C,15.4,10.0
YDL025C,89.4,32.4
YDL026W,77.9,37.3
YDL027C,73.8,26.2
YDL028C,24.9,11.3
YDL029W,334.3,152.9
YDL030W,14.6,4.5
YDL031W,28.7,20.8
YDL032W,13.1,7.8
YDL033C,15.5,7.7
YDL034W,21.1,16.1
YDL035C,44.8,21.6
YDL036C,35.9,16.2
YDL037C,32.6,9.7
YDL039C,54.7,10.5
YDL040C,55.8,42.2
YDL043C,21.5,8.6
YDL044C,23.3,7.3
YDL045C,69.2,17.6
YDL045W-A,244.8,50.0
YDL046W,528.2,148.2
YDL047W,70.5,17.6
YDL048C,21.3,6.1
YDL049C,11.9,6.3
YDL050C,45.2,24.6
YDL051W,108.3,73.2
YDL052C,125.4,37.8
YDL053C,168.6,69.4
YDL054C,25.1,11.9
YDL055C,285.2,243.0
YDL056W,32.0,10.6
YDL057W,24.7,8.4
YDL058W,13.3,31.6
YDL059C,14.2,4.0
YDL060W,20.7,17.3
YDL061C,296.5,136.5
YDL062W,17.3,15.0
YDL063C,17.9,10.3
YDL064W,70.4,23.0
YDL065C,89.2,39.0
